1,4,1
2,2,1
3,5,1
4,1,1
5,3,1
1,4,2
2,2,2
3,5,2
4,3,2
5,1,2
1,4,3
2,2,3
3,3,3
4,5,3
5,1,3
1,4,4
2,2,4
3,3,4
4,1,4
5,5,4
1,4,5
2,2,5
3,1,5
4,3,5
5,5,5
1,4,6
2,2,6
3,1,6
4,5,6
5,3,6
1,4,7
2,5,7
3,1,7
4,3,7
5,2,7
1,4,8
2,5,8
3,1,8
4,2,8
5,3,8
1,4,9
2,5,9
3,3,9
4,1,9
5,2,9
1,4,10
2,5,10
3,3,10
4,2,10
5,1,10
1,4,11
2,5,11
3,2,11
4,3,11
5,1,11
1,4,12
2,3,12
3,5,12
4,2,12
5,1,12
1,4,13
2,3,13
3,1,13
4,5,13
5,2,13
1,4,14
2,3,14
3,1,14
4,2,14
5,5,14
1,4,15
2,3,15
3,2,15
4,5,15
5,1,15
1,4,16
2,3,16
3,2,16
4,1,16
5,5,16
1,4,17
2,1,17
3,3,17
4,5,17
5,2,17
1,5,18
2,4,18
3,1,18
4,2,18
5,3,18
1,5,19
2,4,19
3,3,19
4,2,19
5,1,19
1,5,20
2,4,20
3,2,20
4,3,20
5,1,20
1,5,21
2,2,21
3,3,21
4,4,21
5,1,21
1,5,22
2,2,22
3,1,22
4,4,22
5,3,22
1,5,23
2,2,23
3,4,23
4,3,23
5,1,23
