1,2,1
2,1,1
3,7,1
4,5,1
5,6,1
6,4,1
7,3,1
1,2,2
2,1,2
3,7,2
4,5,2
5,6,2
6,3,2
7,4,2
1,2,3
2,1,3
3,7,3
4,5,3
5,4,3
6,3,3
7,6,3
1,2,4
2,1,4
3,7,4
4,5,4
5,4,4
6,6,4
7,3,4
1,2,5
2,1,5
3,7,5
4,5,5
5,3,5
6,6,5
7,4,5
1,2,6
2,1,6
3,7,6
4,5,6
5,3,6
6,4,6
7,6,6
1,2,7
2,1,7
3,7,7
4,6,7
5,5,7
6,3,7
7,4,7
1,2,8
2,1,8
3,7,8
4,6,8
5,5,8
6,4,8
7,3,8
1,2,9
2,1,9
3,7,9
4,6,9
5,4,9
6,3,9
7,5,9
1,2,10
2,1,10
3,7,10
4,6,10
5,3,10
6,5,10
7,4,10
1,2,11
2,1,11
3,7,11
4,6,11
5,3,11
6,4,11
7,5,11
1,2,12
2,1,12
3,7,12
4,4,12
5,3,12
6,5,12
7,6,12
1,2,13
2,1,13
3,7,13
4,4,13
5,3,13
6,6,13
7,5,13
1,2,14
2,1,14
3,7,14
4,4,14
5,5,14
6,6,14
7,3,14
1,2,15
2,1,15
3,7,15
4,4,15
5,5,15
6,3,15
7,6,15
1,2,16
2,1,16
3,7,16
4,4,16
5,6,16
6,5,16
7,3,16
1,2,17
2,1,17
3,7,17
4,4,17
5,6,17
6,3,17
7,5,17
1,2,18
2,1,18
3,7,18
4,3,18
5,4,18
6,6,18
7,5,18
1,2,19
2,1,19
3,7,19
4,3,19
5,4,19
6,5,19
7,6,19
1,2,20
2,1,20
3,7,20
4,3,20
5,5,20
6,4,20
7,6,20
1,2,21
2,1,21
3,7,21
4,3,21
5,5,21
6,6,21
7,4,21
1,2,22
2,1,22
3,7,22
4,3,22
5,6,22
6,4,22
7,5,22
1,2,23
2,1,23
3,7,23
4,3,23
5,6,23
6,5,23
7,4,23
1,2,24
2,1,24
3,3,24
4,4,24
5,7,24
6,6,24
7,5,24
1,2,25
2,1,25
3,3,25
4,4,25
5,7,25
6,5,25
7,6,25
1,2,26
2,1,26
3,3,26
4,4,26
5,5,26
6,7,26
7,6,26
1,2,27
2,1,27
3,3,27
4,4,27
5,5,27
6,6,27
7,7,27
1,2,28
2,1,28
3,3,28
4,4,28
5,6,28
6,5,28
7,7,28
1,2,29
2,1,29
3,3,29
4,5,29
5,6,29
6,7,29
7,4,29
1,2,30
2,1,30
3,3,30
4,5,30
5,6,30
6,4,30
7,7,30
1,2,31
2,1,31
3,3,31
4,5,31
5,4,31
6,6,31
7,7,31
1,2,32
2,1,32
3,3,32
4,5,32
5,4,32
6,7,32
7,6,32
1,2,33
2,1,33
3,3,33
4,5,33
5,7,33
6,4,33
7,6,33
1,2,34
2,1,34
3,3,34
4,5,34
5,7,34
6,6,34
7,4,34
1,2,35
2,1,35
3,3,35
4,6,35
5,7,35
6,5,35
7,4,35
1,2,36
2,1,36
3,3,36
4,6,36
5,7,36
6,4,36
7,5,36
1,2,37
2,1,37
3,3,37
4,6,37
5,5,37
6,7,37
7,4,37
1,2,38
2,1,38
3,3,38
4,6,38
5,5,38
6,4,38
7,7,38
1,2,39
2,1,39
3,3,39
4,7,39
5,6,39
6,5,39
7,4,39
1,2,40
2,1,40
3,3,40
4,7,40
5,5,40
6,6,40
7,4,40
1,2,41
2,1,41
3,5,41
4,6,41
5,4,41
6,3,41
7,7,41
1,2,42
2,1,42
3,5,42
4,6,42
5,3,42
6,4,42
7,7,42
1,2,43
2,1,43
3,5,43
4,6,43
5,3,43
6,7,43
7,4,43
1,2,44
2,1,44
3,5,44
4,6,44
5,7,44
6,3,44
7,4,44
1,2,45
2,1,45
3,5,45
4,3,45
5,4,45
6,7,45
7,6,45
1,2,46
2,1,46
3,5,46
4,3,46
5,4,46
6,6,46
7,7,46
1,2,47
2,1,47
3,5,47
4,3,47
5,6,47
6,4,47
7,7,47
1,2,48
2,1,48
3,5,48
4,3,48
5,6,48
6,7,48
7,4,48
1,2,49
2,1,49
3,5,49
4,3,49
5,7,49
6,4,49
7,6,49
1,2,50
2,1,50
3,5,50
4,3,50
5,7,50
6,6,50
7,4,50
1,2,51
2,1,51
3,5,51
4,7,51
5,6,51
6,3,51
7,4,51
1,2,52
2,1,52
3,5,52
4,7,52
5,3,52
6,6,52
7,4,52
1,2,53
2,1,53
3,5,53
4,7,53
5,4,53
6,3,53
7,6,53
1,2,54
2,1,54
3,5,54
4,4,54
5,3,54
6,6,54
7,7,54
1,2,55
2,1,55
3,5,55
4,4,55
5,3,55
6,7,55
7,6,55
1,2,56
2,1,56
3,5,56
4,4,56
5,6,56
6,3,56
7,7,56
1,2,57
2,1,57
3,5,57
4,4,57
5,7,57
6,3,57
7,6,57
1,2,58
2,1,58
3,6,58
4,4,58
5,7,58
6,3,58
7,5,58
1,2,59
2,1,59
3,6,59
4,4,59
5,5,59
6,3,59
7,7,59
1,2,60
2,1,60
3,6,60
4,7,60
5,5,60
6,3,60
7,4,60
1,2,61
2,1,61
3,6,61
4,7,61
5,4,61
6,3,61
7,5,61
1,2,62
2,1,62
3,6,62
4,5,62
5,4,62
6,3,62
7,7,62
1,2,63
2,1,63
3,6,63
4,3,63
5,5,63
6,7,63
7,4,63
1,2,64
2,1,64
3,6,64
4,3,64
5,5,64
6,4,64
7,7,64
1,2,65
2,1,65
3,6,65
4,3,65
5,4,65
6,5,65
7,7,65
1,2,66
2,1,66
3,6,66
4,3,66
5,4,66
6,7,66
7,5,66
1,2,67
2,1,67
3,6,67
4,3,67
5,7,67
6,4,67
7,5,67
1,2,68
2,1,68
3,6,68
4,3,68
5,7,68
6,5,68
7,4,68
1,2,69
2,1,69
3,4,69
4,3,69
5,6,69
6,7,69
7,5,69
1,2,70
2,1,70
3,4,70
4,3,70
5,6,70
6,5,70
7,7,70
1,2,71
2,1,71
3,4,71
4,3,71
5,7,71
6,6,71
7,5,71
1,2,72
2,1,72
3,4,72
4,3,72
5,5,72
6,6,72
7,7,72
1,2,73
2,4,73
3,7,73
4,1,73
5,3,73
6,6,73
7,5,73
1,2,74
2,4,74
3,7,74
4,1,74
5,3,74
6,5,74
7,6,74
1,2,75
2,4,75
3,7,75
4,1,75
5,6,75
6,3,75
7,5,75
1,2,76
2,4,76
3,7,76
4,1,76
5,6,76
6,5,76
7,3,76
1,2,77
2,4,77
3,7,77
